TOA5,CR1000_BigSky_WFork,CR1000,25170,CR1000.Std.16,CPU:WestFork_stage_cond_temp_60sec.CR1,56826,WF
TIMESTAMP,RECORD,Batt_Volt_Avg,AirTemp_Avg,H20Dist_Avg,H20Cond_Avg,H20Temp_Avg,Ct_Avg,Stage_Avg,AirTemp_SMP,H20Dist_SMP,Stage_SMP,H20Cond_SMP,Ct_SMP,H20Temp_SMP
TS,RN,Volts,Deg C,meters,mS/cm,Deg C,mS/cm,meters,Deg C,meters,meters,mS/cm,mS/cm,Deg C
,,Avg,Avg,Avg,Avg,Avg,Avg,Avg,Smp,Smp,Smp,Smp,Smp,Smp
2011-08-18 22:30:00,31167,13.04,14.01046,1.783022,0.2738143,12.86291,0.1907312,0.3169775,14.53143,1.781579,0.3184212,0.2742094,0.190034,12.72101
2011-08-18 23:00:00,31168,13.02,13.62194,1.78407,0.2744236,12.60084,0.1893575,0.3159295,12.91904,1.783743,0.3162572,0.2748072,0.1887288,12.47073
2011-08-18 23:30:00,31169,13,13.22103,1.782584,0.2750848,12.32827,0.1879393,0.3174154,13.94827,1.784898,0.3151017,0.2754222,0.1874335,12.22125
2011-08-19 00:00:00,31170,12.99,13.8517,1.783297,0.2758369,12.07515,0.1867076,0.3167025,13.15475,1.784477,0.3155224,0.2760387,0.1861376,11.97269
2011-08-19 00:30:00,31171,12.98,12.75087,1.782569,0.2766571,11.81806,0.1854845,0.3174309,12.0463,1.776932,0.3230675,0.277381,0.1849665,11.67328
2011-08-19 01:00:00,31172,12.97,12.02099,1.782369,0.2774572,11.55048,0.1841649,0.3176305,12.11127,1.780201,0.3197992,0.277532,0.1832118,11.40585
2011-08-19 01:30:00,31173,12.96,11.70462,1.781926,0.2778473,11.27798,0.1825313,0.3180741,11.14185,1.782274,0.3177257,0.278495,0.1819205,11.12909
2011-08-19 02:00:00,31174,12.95,10.34453,1.781418,0.2788888,11.0229,0.1814368,0.3185819,9.254333,1.783465,0.3165348,0.2794404,0.1811097,10.92462
2011-08-19 02:30:00,31175,12.94,8.234355,1.78051,0.2799298,10.75194,0.1802179,0.3194899,7.638062,1.778354,0.3216456,0.2804419,0.1792584,10.56799
2011-08-19 03:00:00,31176,12.92,6.704277,1.779609,0.2812945,10.461,0.1790501,0.3203911,5.786285,1.781575,0.3184246,0.2825978,0.1785566,10.27359
2011-08-19 03:30:00,31177,12.9,5.299805,1.779785,0.2821701,10.18331,0.1776486,0.3202147,5.39624,1.77932,0.3206804,0.282726,0.1769206,10.03067
2011-08-19 04:00:00,31178,12.89,4.970407,1.780262,0.283121,9.895878,0.1762128,0.3197381,4.612091,1.781855,0.3181446,0.2834374,0.1755211,9.770355
2011-08-19 04:30:00,31179,12.87,4.027674,1.778469,0.2839107,9.625856,0.1747881,0.3215313,3.632629,1.779718,0.3202823,0.2843701,0.1741541,9.496826
2011-08-19 05:00:00,31180,12.85,3.172332,1.77832,0.2846258,9.366817,0.1733849,0.3216799,2.341034,1.776565,0.3234353,0.2852201,0.1727641,9.228882
